"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country"
"576860","22556","PLASTERS IN TIN CIRCUS PARADE ","4","11/16/2011 15:58","1.65","17602","United Kingdom"
"576860","22555","PLASTERS IN TIN STRONGMAN","4","11/16/2011 15:58","1.65","17602","United Kingdom"
"576860","22553","PLASTERS IN TIN SKULLS","8","11/16/2011 15:58","1.65","17602","United Kingdom"
"576860","22551","PLASTERS IN TIN SPACEBOY","4","11/16/2011 15:58","1.65","17602","United Kingdom"
"576860","22637","PIGGY BANK RETROSPOT ","1","11/16/2011 15:58","2.55","17602","United Kingdom"
"576860","21581","SKULLS  DESIGN  COTTON TOTE BAG","5","11/16/2011 15:58","2.25","17602","United Kingdom"
"576860","22902","TOTE BAG I LOVE LONDON","7","11/16/2011 15:58","2.1","17602","United Kingdom"
"576860","22436","12 COLOURED PARTY BALLOONS","10","11/16/2011 15:58","0.65","17602","United Kingdom"
"576860","22435","SET OF 9 HEART SHAPED BALLOONS","4","11/16/2011 15:58","1.25","17602","United Kingdom"
"576860","22900","SET 2 TEA TOWELS I LOVE LONDON ","10","11/16/2011 15:58","3.25","17602","United Kingdom"
"576860","23378","PACK OF 12 50'S CHRISTMAS TISSUES","9","11/16/2011 15:58","0.39","17602","United Kingdom"
"576860","23376","PACK OF 12 VINTAGE CHRISTMAS TISSUE","9","11/16/2011 15:58","0.39","17602","United Kingdom"
"576860","22816","CARD MOTORBIKE SANTA","12","11/16/2011 15:58","0.42","17602","United Kingdom"
"576860","22818","CARD CHRISTMAS VILLAGE","12","11/16/2011 15:58","0.42","17602","United Kingdom"
"576860","22086","PAPER CHAIN KIT 50'S CHRISTMAS ","5","11/16/2011 15:58","2.95","17602","United Kingdom"
"576860","22713","CARD I LOVE LONDON ","24","11/16/2011 15:58","0.42","17602","United Kingdom"
"576860","22142","CHRISTMAS CRAFT WHITE FAIRY ","1","11/16/2011 15:58","1.45","17602","United Kingdom"
"576860","23505","PLAYING CARDS I LOVE LONDON ","11","11/16/2011 15:58","1.25","17602","United Kingdom"
"576860","21982","PACK OF 12 SUKI TISSUES ","12","11/16/2011 15:58","0.39","17602","United Kingdom"
"576860","21980","PACK OF 12 RED RETROSPOT TISSUES ","12","11/16/2011 15:58","0.39","17602","United Kingdom"
"576860","21967","PACK OF 12 SKULL TISSUES","12","11/16/2011 15:58","0.39","17602","United Kingdom"
"576860","22994","TRAVEL CARD WALLET RETROSPOT","22","11/16/2011 15:58","0.42","17602","United Kingdom"
"576860","23002","TRAVEL CARD WALLET SKULLS","24","11/16/2011 15:58","0.42","17602","United Kingdom"
"576860","22970","LONDON BUS COFFEE MUG","6","11/16/2011 15:58","2.55","17602","United Kingdom"
"576860","22971","QUEENS GUARD COFFEE MUG","6","11/16/2011 15:58","2.55","17602","United Kingdom"
"576860","84347","ROTATING SILVER ANGELS T-LIGHT HLDR","24","11/16/2011 15:58","2.55","17602","United Kingdom"
"576860","22560","TRADITIONAL MODELLING CLAY","6","11/16/2011 15:58","1.25","17602","United Kingdom"
"576860","22489","PACK OF 12 TRADITIONAL CRAYONS","7","11/16/2011 15:58","0.42","17602","United Kingdom"
"576860","23084","RABBIT NIGHT LIGHT","6","11/16/2011 15:58","2.08","17602","United Kingdom"
"576860","21098","CHRISTMAS TOILET ROLL","10","11/16/2011 15:58","1.25","17602","United Kingdom"
"576860","23537","WALL ART I LOVE LONDON ","2","11/16/2011 15:58","4.95","17602","United Kingdom"
"576860","23077","DOUGHNUT LIP GLOSS ","20","11/16/2011 15:58","1.25","17602","United Kingdom"
"576860","22807","SET OF 6 T-LIGHTS TOADSTOOLS","2","11/16/2011 15:58","2.95","17602","United Kingdom"
"576860","20728","LUNCH BAG CARS BLUE","2","11/16/2011 15:58","1.65","17602","United Kingdom"
"576860","23238","SET OF 4 KNICK KNACK TINS LONDON ","6","11/16/2011 15:58","4.15","17602","United Kingdom"
"576860","23157","SET OF 6 NATIVITY MAGNETS ","12","11/16/2011 15:58","2.08","17602","United Kingdom"
"576860","23391"," I LOVE LONDON MINI BACKPACK","6","11/16/2011 15:58","4.15","17602","United Kingdom"
"576860","22659","LUNCH BOX I LOVE LONDON","6","11/16/2011 15:58","1.95","17602","United Kingdom"
"576860","20725","LUNCH BAG RED RETROSPOT","2","11/16/2011 15:58","1.65","17602","United Kingdom"
"576860","20727","LUNCH BAG  BLACK SKULL.","2","11/16/2011 15:58","1.65","17602","United Kingdom"
"576860","22383","LUNCH BAG SUKI DESIGN ","2","11/16/2011 15:58","1.65","17602","United Kingdom"
"576860","23207","LUNCH BAG ALPHABET DESIGN","2","11/16/2011 15:58","1.65","17602","United Kingdom"
"576860","22997","TRAVEL CARD WALLET UNION JACK","24","11/16/2011 15:58","0.42","17602","United Kingdom"
"576860","23005","TRAVEL CARD WALLET I LOVE LONDON","48","11/16/2011 15:58","0.42","17602","United Kingdom"
"576860","20772","GARDEN PATH JOURNAL","3","11/16/2011 15:58","2.55","17602","United Kingdom"
"576860","20758","ABSTRACT CIRCLES POCKET BOOK","3","11/16/2011 15:58","0.85","17602","United Kingdom"
"576860","20756","GREEN FERN POCKET BOOK","3","11/16/2011 15:58","0.85","17602","United Kingdom"
"576860","20757","RED DAISY POCKET BOOK ","3","11/16/2011 15:58","0.85","17602","United Kingdom"
"576860","20775","DAISY NOTEBOOK ","3","11/16/2011 15:58","1.65","17602","United Kingdom"
"576860","20777","CHRYSANTHEMUM NOTEBOOK","2","11/16/2011 15:58","1.65","17602","United Kingdom"
"576860","23597","PAPER BUNTING PAISLEY PARK","2","11/16/2011 15:58","2.95","17602","United Kingdom"
"576860","22087","PAPER BUNTING WHITE LACE","2","11/16/2011 15:58","2.95","17602","United Kingdom"
"576860","22911","PAPER CHAIN KIT LONDON","8","11/16/2011 15:58","2.95","17602","United Kingdom"
"576860","22491","PACK OF 12 COLOURED PENCILS","6","11/16/2011 15:58","0.85","17602","United Kingdom"
"576860","22561","WOODEN SCHOOL COLOURING SET","6","11/16/2011 15:58","1.65","17602","United Kingdom"
"576860","23308","SET OF 60 VINTAGE LEAF CAKE CASES ","5","11/16/2011 15:58","0.55","17602","United Kingdom"
"576860","84992","72 SWEETHEART FAIRY CAKE CASES","3","11/16/2011 15:58","0.55","17602","United Kingdom"
"576860","23309","SET OF 60 I LOVE LONDON CAKE CASES ","6","11/16/2011 15:58","0.55","17602","United Kingdom"
"576860","35004B","SET OF 3 BLACK FLYING DUCKS","1","11/16/2011 15:58","5.45","17602","United Kingdom"
"576860","21993","FLORAL FOLK STATIONERY SET","3","11/16/2011 15:58","1.25","17602","United Kingdom"
"576860","21990","MODERN FLORAL STATIONERY SET","3","11/16/2011 15:58","1.25","17602","United Kingdom"
"576860","21991","BOHEMIAN COLLAGE STATIONERY SET","3","11/16/2011 15:58","1.25","17602","United Kingdom"
"576860","22142","CHRISTMAS CRAFT WHITE FAIRY ","3","11/16/2011 15:58","1.45","17602","United Kingdom"
"576860","22616","PACK OF 12 LONDON TISSUES ","24","11/16/2011 15:58","0.39","17602","United Kingdom"
"576860","21504","SKULLS GREETING CARD","12","11/16/2011 15:58","0.42","17602","United Kingdom"
"576860","21207","SKULL AND CROSSBONES  GARLAND ","2","11/16/2011 15:58","1.65","17602","United Kingdom"
"576860","22732","3D VINTAGE CHRISTMAS STICKERS ","3","11/16/2011 15:58","1.25","17602","United Kingdom"
"576860","21871","SAVE THE PLANET MUG","6","11/16/2011 15:58","1.65","17602","United Kingdom"
"576860","22988","SOLDIERS EGG CUP ","12","11/16/2011 15:58","1.25","17602","United Kingdom"
"576860","84347","ROTATING SILVER ANGELS T-LIGHT HLDR","12","11/16/2011 15:58","2.55","17602","United Kingdom"
"576860","23365","SET 12 COLOUR PENCILS LOVE LONDON","24","11/16/2011 15:58","0.65","17602","United Kingdom"
"576860","23368","SET 12 COLOUR PENCILS DOLLY GIRL ","4","11/16/2011 15:58","0.65","17602","United Kingdom"
"576860","23367","SET 12 COLOUR PENCILS SPACEBOY ","4","11/16/2011 15:58","0.65","17602","United Kingdom"
